candidate_id,title_ko,content_type,address,previous_status,final_status,category,subcategory,merge_target_id,merge_target_type,enrich_fields,reason
busan-VB-2581,바다처럼,shopping,부산 해운대구 우동1로38번길 15-1 1층,manual_review,ready_for_candidate,attraction,retail_store,,,,"REVIEW-09: Instagram @pretty_whale.shop 확인. 고래 테마 소품·잡화 오프라인 판매점. 해운대구 우동1로38번길 15-1 1층 고정 점포 운영 → ready_for_candidate."
busan-VB-2579,"달콤한 부산의 매력,",shopping,부산 해운대구 우동1로 13-29 1층,manual_review,ready_for_candidate,restaurant,dessert_shop,,,,"REVIEW-09: busansand.co.kr 확인. 부산샌드(버터샌드 전문점). 해운대구 우동1로 13-29 1층 고정 매장 운영 → ready_for_candidate."
busan-VB-399,골목골목 와글와글 국제시장,shopping,부산광역시 중구 중구로 32,duplicate_suspected,merge_existing,,,busan-K-00058,canonical,"hours, phone, source_detail_url","국제시장: canonical busan-K-00058(국제시장, 중구 신창로4가 일원)과 동일 시장. VB hours/phone/URL로 보강 가능."
busan-VB-422,"동래여행의 깨알 즐거움, 동래시장",shopping,부산광역시 동래구 동래시장길 14,duplicate_suspected,ready_for_candidate,attraction,market,,,,"동래시장(동래구 동래시장길 14): canonical에서 ""동래시장"" 미발견. 실재하는 전통시장으로 신규 후보 유지."
busan-VB-412,오이소! 보이소! 사이소! 자갈치시장,shopping,부산광역시 중구 자갈치해안로 52,duplicate_suspected,merge_existing,,,busan-K-00057,canonical,"hours, phone, source_detail_url","자갈치시장: canonical busan-K-00057(부산 자갈치시장, 중구 자갈치해안로 52)과 주소+명칭 일치. 이전 참조 busan-E-00011은 자갈치축제(festival)로 오참조였음."
busan-VB-400,부산 먹방의 성지 부평깡통시장,shopping,부산광역시 중구 부평1길 48,duplicate_suspected,merge_existing,,,busan-K-00176,canonical,"hours, phone, source_detail_url","부평깡통시장: canonical busan-K-00176(부평깡통시장, 중구 부평1길 48)과 주소+명칭 완전 일치."
busan-VB-363,"어머, 구포장날은 꼭 가봐야 해!",shopping,부산광역시 북구 구포시장2길 7,duplicate_suspected,merge_existing,,,busan-K-00148,canonical,"hours, phone, source_detail_url","구포시장: canonical busan-K-00148(구포시장, 북구 구포시장2길 7)과 주소 완전 일치. 이전 참조 busan-A-00042는 구포어린이교통공원으로 오참조였음."
busan-VB-328,빛나는 서면시장,shopping,부산광역시 부산진구 서면로 56,duplicate_suspected,ready_for_candidate,attraction,market,,,,서면시장(진구 서면로 56): canonical에서 미발견. 실재하는 시장으로 신규 후보 유지.
busan-VB-327,기억의 장터 부전마켓타운,shopping,부산광역시 부산진구 중앙대로 786 10,duplicate_suspected,merge_existing,,,busan-K-00055,canonical,"hours, phone, source_detail_url",부전마켓타운: canonical busan-K-00055(부전마켓타운)와 명칭 완전 일치. VB 주소(중앙대로 786)와 canonical 주소(중앙대로755번길 21)는 동일 시장의 다른 입구.
busan-VB-300,영도 토박이 남항시장 & 봉래시장,shopping,남항시장 : 부산 영도구 영선동2가 245 봉래시장 : 부산 영도구 태종로 159-15,duplicate_suspected,merge_existing,,,busan-K-00190,canonical,"hours, phone, source_detail_url, address(봉래시장 추가)","남항시장: canonical busan-K-00190(남항시장, 영도구 절영로49번길 73-5)과 명칭 일치. VB 콘텐츠는 남항시장+봉래시장 묶음이나 주 시장은 남항시장으로 동일. 봉래시장 정보는 보강 필드로 기록."
busan-VB-294,텔레비전에 나온 시장맛집 해운대시장,shopping,부산 해운대구 중동1로 42-16,duplicate_suspected,ready_for_candidate,restaurant,food_market,,,,"해운대시장(해운대구 중동1로 42-16): canonical에서 미발견. VB 콘텐츠 ""텔레비전에 나온 시장맛집""으로 음식 중심 시장, restaurant/food_market 분류."
busan-VB-293,광안리 바다의 참맛 민락회타운,shopping,부산광역시 수영구 민락수변로 1,duplicate_suspected,ready_for_candidate,restaurant,seafood_market,,,,민락회타운(수영구 민락수변로 1): 이전 참조 busan-A-00026은 민락수변공원(공원)으로 완전 별개 장소. 민락회타운은 독립 수산 횟집 단지 → 신규 후보.
busan-VB-292,좌판의 힘 기장시장,shopping,부산 기장군 기장읍 대라리 72-3,duplicate_suspected,ready_for_candidate,attraction,market,,,,기장시장(기장군 기장읍 대라리 72-3): canonical에서 미발견. 실재하는 오일장/전통시장으로 신규 후보 유지.
busan-VB-2277,"자연의 편안함을 품은 료칸 호텔, ‘이제 부산’",experience,부산광역시 기장군 기장읍 연화길 70,duplicate_suspected,ready_for_candidate,accommodation,boutique_hotel,,,,"""이제 부산"" 료칸(기장군 기장읍 연화길 70): canonical에서 미발견. 기장 오션뷰 부티크 료칸 호텔. 독립 방문 숙박 시설."
busan-VB-2273,"기장 오션뷰를 품은 화려한 특급호텔, ‘아난티  코브’",experience,부산광역시 기장군 기장읍 기장해안로 268-32 아난티 앳 부산 코브,duplicate_suspected,ready_for_candidate,accommodation,luxury_resort,,,,"아난티 코브(기장군 기장읍 기장해안로 268-3): canonical busan-A-00025는 ""아난티 코브 이터널저니""(내부 부티크·갤러리 공간)로 VB의 호텔 전체 소개와 다름. 호텔 본체는 canonical 미등재 → 신규 accommodation 후보."
busan-VB-2270,"송도 바다를 품은 럭셔리 스테이, 윈덤 그랜드 부산",experience,부산광역시 서구 등대로 27 윈덤 그랜드 부산,duplicate_suspected,ready_for_candidate,accommodation,luxury_hotel,,,,윈덤 그랜드 부산(서구 등대로 27): canonical에서 미발견. 송도 오션뷰 럭셔리 호텔 → 신규 accommodation 후보.
busan-VB-2245,"부산 곳곳에서 경험하는 노르딕 워킹, ‘놀핏’",experience,부산광역시 사하구 장림로93번길 74 장림항 맛술촌 11호점 놀핏,manual_review,reference_only,,,,,,"""놀핏"" 노르딕 워킹(사하구 장림로93번길 74 장림항): 고정 체험 장소가 아닌 이동형 프로그램. 장림항은 투어 출발 거점. 관광객이 독립 방문하는 장소가 아님 → reference_only."
busan-VB-2243,"해운대 도심 속 화려한 웰니스, ‘파크 하얏트 부산’",experience,부산광역시 해운대구 마린시티1로 51,duplicate_suspected,ready_for_candidate,accommodation,luxury_hotel,,,,파크 하얏트 부산(해운대구 마린시티1로 51): canonical에서 미발견. 해운대 마린시티 럭셔리 호텔 → 신규 accommodation 후보.
busan-VB-1899,자연도 흥미진진하다구! 낙동강 감동포구에서 즐기는 생태 어드벤처,experience,,manual_review,reference_only,,,,,,"REVIEW-09: VisitBusan 페이지 확인. 화명생태공원·화명수상레포츠타운·금빛노을브릿지 등 다중 거점 생태 투어 프로그램. 단일 고정 city_spot 아님 → reference_only."
busan-VB-1874,"플로깅 투어하러 롤로와, 영도!",experience,부산광역시 영도구 태종로105번길 37-3 AREA6 1층,manual_review,reference_only,,,,,,"""플로깅 투어하러 롤로와, 영도!""(영도구 태종로105번길 37-3): 영도 일대를 이동하는 플로깅 투어 프로그램. 출발 거점 주소이며, 관광객이 독립 방문하는 고정 장소 아님 → reference_only."
busan-VB-1870,세상에 쓸모없는 쓰레기는 없으니까!,experience,부산광역시 강서구 생곡산단1로24번길 58 부산자원순환협력센터,manual_review,merge_existing,,,busan-K-00350,canonical,"hours, phone, source_detail_url","REVIEW-09: VB 주소(강서구 생곡산단1로24번길 58)가 canonical busan-K-00350(부산자원순환협력센터)과 완전 일치. 시설명 확인 → merge_existing."
busan-VB-1859,K-POP 스타랑 동문 된 썰 푼다,experience,부산광역시 부산진구 동천로132번길 6 3층,manual_review,unresolved,,,,,,"REVIEW-09: 공식 URL(sdkart.modoo.at) 2025년 6월 26일 서비스 종료로 접속 불가. 진구 동천로132번길 6 3층 업체의 현재 운영 여부 및 업종 확인 불가 → 최종 unresolved 유지."
busan-VB-1858,파라다이스 호텔 부산에서 즐기는 프리미엄 체험,experience,부산광역시 해운대구 해운대해변로 296,duplicate_suspected,merge_existing,,,busan-K-00078,canonical,"hours, phone, external_official_url, source_detail_url","파라다이스 호텔 부산: canonical busan-K-00078(파라다이스 호텔 부산, 해운대해변로 296)과 주소+명칭 완전 일치. VB는 호텔 내 프리미엄 체험 소개 → 기존 canonical에 보강."
busan-VB-1855,라이언 홀리데이 인 부산,experience,"부산광역시 해운대구 해운대해변로 292 지하1층 B120호, 지하2층 B220호",duplicate_suspected,ready_for_candidate,attraction,theme_park,,,,"REVIEW-09: VisitBusan 페이지 확인. 카카오프렌즈 캐릭터 테마파크. 지하1층 무료 전시·지하2층 유료 체험(20000원). 파라다이스 호텔(296번지)과 완전 별개 독립 시설 → ready_for_candidate."
busan-VB-1695,우시산 인 부산,experience,부산광역시 수영구 망미번영로 69-1 비콘그라운드 K동 113호,manual_review,ready_for_candidate,attraction,cultural_space,,,,"""우시산 인 부산""(수영구 망미번영로 69-1 비콘그라운드): 비콘그라운드는 수영구 망미동의 공인된 복합문화공간. 우시산은 동 공간 내 입주 문화 시설로, 고정 주소+독립 방문 가능 → ready_for_candidate. 세부 업종(찻집/갤러리) URL 재확인 권장."
busan-VB-1680,해운대 한눈에 담은 프리미엄 스파&워터파크 클럽디오아시스,experience,부산광역시 해운대구 달맞이길 30 엘시티,duplicate_suspected,ready_for_candidate,attraction,spa_waterpark,,,,"클럽디오아시스(해운대구 달맞이길 30 엘시티): canonical busan-K-00675는 ""엘시티 레지던스""(주거동)으로 완전 별개 시설. 클럽디오아시스는 동일 건물 내 독립 스파&워터파크 운영 → 신규 attraction 후보."
busan-VB-1177,아트다 아트 꿀잼 아트,experience,캐비네 드 쁘아송 (아난티코브 미디어아트 갤러리) 부산광역시 기장군 기장읍 기장해안로 268-31,manual_review,merge_existing,,,busan-K-00224,canonical,source_detail_url,"REVIEW-09: 아난티 공식 사이트 확인. 캐비네 드 쁘아쏭(쁘아송)은 아난티코브 내 F&B·어메니티 라인으로 독립 갤러리 아님. 부지(268-31)는 busan-K-00224(아난티 앳 부산 코브, 268-32) 인접 단지 내 위치 → merge_existing."
busan-VB-990,탐방선과 자전거로 즐기는 재미있는 생태여행,experience,낙동강생태탐방선：부산광역시 사하구 하단동 1149-10 을숙도생태공원 내 을숙도 선착장 을숙도자전거투어：부산광역시 사하구 하단동 1149-38 을숙도기후생태교육공원,duplicate_suspected,merge_existing,,,busan-VB-336,vb_candidate,source_detail_url(자전거 프로그램 추가),"""탐방선+자전거 생태여행""(사하구 하단동): busan-VB-336(낙동강생태탐방선, 하단동 1149-1)과 동일 운영주·동일 선착장. 별도 VB 콘텐츠지만 동일 시설 소개 → VB-336으로 병합, 자전거 프로그램 정보 보강."
busan-VB-518,부산 로컬푸드 쿠킹클래스,experience,부산광역시 서구 구덕로 186번길 15 2층,manual_review,ready_for_candidate,restaurant,cooking_class,,,,"""부산 로컬푸드 쿠킹클래스""(서구 구덕로 186번길 15 2층): VB-481과 동일 주소. 두 콘텐츠 중 대표 항목으로 유지. 한국 전통 로컬푸드 쿠킹 클래스 운영 고정 장소."
busan-VB-481,직접 만드는 한국의 맛!,experience,부산광역시 서구 구덕로186번길 15 2층,manual_review,merge_existing,,,busan-VB-518,vb_candidate,source_detail_url,"""직접 만드는 한국의 맛!""(서구 구덕로186번길 15 2층): VB-518과 정확히 동일 주소(건물·층수). 동일 쿠킹클래스 시설의 다른 VB 콘텐츠 → VB-518로 병합."
busan-VB-542,다누비열차,experience,,manual_review,merge_existing,,,busan-A-00004,canonical,source_detail_url,"REVIEW-09: 태종대유원지 공식 사이트(bisco.or.kr) 확인. 다누비열차는 태종대 내부 순환 관광 열차. canonical busan-A-00004(태종대, 영도구 전망로 24) 포함 부대시설 → merge_existing."